   1   1   1   1     1.836209689597
   1   1   2   2     1.910981273494
   1   1   3   3     1.910981381924
   1   1   4   4     0.074771638112
   1   2   2   1    -0.955490636747
   1   2   3   4    -0.201586855703
   1   3   2   4    -0.201586978202
   1   3   3   1    -0.955490690962
   1   4   1   4    -0.161742209112
   1   4   4   1    -0.074771638112
   2   1   1   2    -0.955490636747
   2   1   4   3    -0.201586855703
   2   2   1   1     1.910981273494
   2   2   2   2     0.074771583897
   2   2   3   3     0.925228361888
   2   2   4   4     0.089018618076
   2   3   2   3    -0.074771638112
   2   3   3   2    -0.925228361888
   2   4   1   3    -0.201586978202
   2   4   4   2    -0.044509309038
   3   1   1   3    -0.955490690962
   3   1   4   2    -0.201586978202
   3   2   2   3    -0.925228361888
   3   2   3   2    -0.074771638112
   3   3   1   1     1.910981381924
   3   3   2   2     0.925228361888
   3   3   3   3     0.074771692326
   3   3   4   4     0.089018726506
   3   4   1   2    -0.201586855703
   3   4   4   3    -0.044509363253
   4   1   1   4    -0.074771638112
   4   1   4   1    -0.161742209112
   4   2   2   4    -0.044509309038
   4   2   3   1    -0.201586978202
   4   3   2   1    -0.201586855703
   4   3   3   4    -0.044509363253
   4   4   1   1     0.074771638112
   4   4   2   2     0.089018618076
   4   4   3   3     0.089018726506
   4   4   4   4     0.014247034180
